id	title	pids
32020	江上别李秀才	33278,33354
32021	奉使设宴戏掷笼筹	8757
32022	水调歌头（次王运使韵）	53951
32023	官池秋夕	30437
32024	重和	31845,37458
32025	仙游寺独宿	14237
32026	敕借岐王九成宫避暑应教	53648
32027	游宋兴寺东岩	35506
32028	江州望庐山	30121
32029	晨起见雪忆山居	18001
32030	南乡子（双荔支）	45556
32031	蓦山溪（九日）	52179,52184
32032	仙女台（得仙字）	38868,38947
32033	千年调（庶庵小阁名曰卮言，作此词以嘲之）	54606
32034	游城南十六首。风折花枝	10482
32035	击壤歌	43338
32036	谒金门·柳丝碧	48260
32037	奉和李右相中书壁画山水	49134
32038	过南阳	10371
32039	旱麓	16755
32040	夜闻贾常州、崔湖州茶山境会想羡欢宴因寄此诗	15927
32041	题诗屏风绝句	15178,15281
32042	宿杭州虚白堂	26504,26570
32043	对花（一作武瓘诗，题云感事）	26959
32044	西江月（赠友人家侍儿名莺莺者）	48814
32045	【正宫】小梁州_春夜	67697
32046	乐府杂曲。鼓吹曲辞。黄雀行	3130
32047	王阆州筵奉酬十一舅惜别之作	3089
32048	经梧州	24024
32049	三年为刺史二首	14477
32050	虞美人（临安客店）	62951,63394
32051	送张郎中赴陇右觐省卿公（时张卿公亦充节度留后）	73126,73302
32052	和周侍御买剑	29030
32053	醉蓬莱（寿郁梅野）	66528
32054	洛中逢白监同话游梁之乐，因寄宣武令狐相公	11386,11459
32055	武陵春·春晚	48903
32056	东津送韦讽摄阆州录事	3655
32057	砚	27332
32058	西江月（次韵李明府见寿）	56585
32059	崔驸马宅咏画山水扇	73552
32060	南乡子（大雪韩叔夏坐中）	49062
32061	寄荆门郑准	40804
32062	中秋夜杭州玩月	20421
32063	摸鱼儿（送陈太史东归）	66529
32064	去鲁歌	43366
32065	匡山居	40784
32066	奉和圣制送张说上集贤学士赐宴（赋得升字）	45806
32067	听乐怅然自述（一作病中遣妓，一作司空曙诗）	5440
32068	晚秋游中溪	30801,30888
32069	细雨	22582,22673,22813,22896,25922
32070	怨王孙（春情）	62894,63339
32071	同光禄弟冬日述怀	40732
32072	酬张明府	19072,38842
32073	八月十五日夜闻崔大员外翰林独直对酒玩月…偶题是诗	14861
32074	如梦令（属纩遗语）	56587
32075	虞美人（泛舟东下）	47783
32076	夏日可畏（一作丘为诗）	12770
32077	寄西台李侍御	18986
32078	还京口	18793
32079	菩萨蛮（双韵赋摘阮）	54249
32080	青山峡口泊舟怀狄侍御	72925
32081	明妃曲四首	60012
32082	经费冠卿旧隐	36520
32083	冬日送颜延之明府抚州觐叔父	38696
32084	晦日寻崔戢、李封	2325
32085	台中语	42051
32086	汉宫春（寿王虔州）	59497
32087	念奴娇（荷叶浦雪中作）	51844
32088	渔父词（其二）	62298,64150,64757
32089	寻李道士山居，兼呈元明府	15078
32090	寄饶州王郎中效李白体	36114
32091	蓦山溪（上元词）	47455
32092	将之京国赠薛员外	24886
32093	醉著	31579
32094	陈觉放还至泰州，以诗见寄，作此答之	36143,36172
32095	一翦梅（寿吴景年礻B13A）	59716,59851
32096	悲善才	18285,18317
32097	莺啼序·春晚感怀	59415
32098	柳梢青（探梅）	53187
32099	怀天台华顶僧	40302
32100	春霁（春晴）	66358
32101	闺怨无闷	54835,55007
32102	清溪来明府出二子请诗因遗一绝	32833
32103	咏华山	69537
32104	奉和九月九日圣制登慈恩寺浮图应制	31529
32105	相和歌辞。长信怨	6930,6952
32106	题韦郎中新亭	12785
32107	淮村兵后	68857
32108	春日旅舍	26244
32109	相和歌辞。采莲归	7927
32110	远闻本郡行春到旧山二首	23366,33405
32111	储潭庙（大历三年戊申岁）	42569
32112	清平乐（秋词）	45287
32113	禁中寓直梦游仙游寺	14258
32114	乐城白鹤寺	42757
32115	送杨少尹赴满城	12808
32116	人日侍宴大明宫恩赐彩缕人胜应制	28948
32117	王昭君（一作宋之问诗）	42606
32118	过函谷关	23846,36933
32119	瑶台月（元宵庆赏）	47936
32120	满江红·中秋寄远	54076
32121	渚山春暮，会顾丞茗舍，联句效小庾体	37702
32122	官舍	14466
32123	苏幕遮（送张删定赴召）	52766
32124	山僧兰若	5763
32125	携仙箓九首	28549
32126	补乐歌十首。五茎	4185,4233
32127	大礼毕皇帝御丹凤门改元建中大赦	7218
32128	戍卒伤春	26948
32129	奉和春日二首（前首一作上官仪诗）	19468
32130	人有负盐负薪者	70517
32131	宣武令狐相公以诗寄赠传播吴中聊奉短草用申酬谢	15886
32132	天竺寺七叶堂避暑	15751
32133	九日闲居·并序	69825
32134	王先辈草堂	28073
32135	和李使君三郎早秋城北亭宴崔司士因寄关中张评事	12043
32136	宋公宅送宁谏议	24523
32137	杂曲歌辞。生别离	10893
32138	上盐铁尚书（时太庙宿斋）	24391
32139	和许侍郎游昆明池	19189
32140	九华观废月池（一作题昭华公主废池馆）	23418
32141	【南吕】一枝花　行乐	68031
32142	明皇祀圜丘乐章。舒和	63200
32143	初及第归酬孟元翊见赠	19872
32144	蔷薇架（清水驿）	14014
32145	和张秘监阁老献岁过蒋大拾遗因呈两省诸公并见示	9635
32146	过华清宫	8843,13108,13156
32147	菩萨蛮（西湖）	45333
32148	生查子（稽山对雪有感）	59516
32149	乐府杂曲。鼓吹曲辞。巫山高	2787,2809,2820,2831,2842,2854,2865,2887,2898
32150	八声甘州（和孔瞻怀信国公，因念亦周弟）	66078,66112
32151	蓦山溪（游三荣龙洞）	52397
32152	定风波·未问兰因已	68701
32153	戏瞻相	24652
32154	水龙吟（无射商惠山酌泉）	59256
32155	薄命妾	26669,29360,32321
32156	法驾导引（代寿丹山）	60590
32157	送侯喜	10442
32158	寄元九	14512,14575
32159	如梦令（题四美人画）	60308
32160	相和歌辞。子夜春歌	7051
32161	泛前陂	52937
32162	【双调】青玉案	68147
32163	【越调】天净沙_书怀二首香	67550
32164	怀灞上游	3439
32165	寄钱塘罗给事	39850
32166	题终南山隐者居	23937
32167	赠主客刘郎中	12942
32168	万年人语	42041
32169	寄华山司空侍郎	34165
32170	西岩	38066
32171	醉中吟	26020
32172	早春陪崔中丞同泛浣花谿宴	73191,73367
32173	夜归华川因寄幕府	37393,37414
32174	菩萨蛮（胡教生朝）	56463
32175	残秋送友	29641
32176	漫题	28489,28534
32177	送客还江东	4383,4507
32178	送岳州司马弟之任	73682
32179	见花	31889
32180	湘中送翁员外归闽	40593
32181	陵阳送客	21585
32182	岳阳怀古	11974
32183	别友人	7705,7747,17570,33601,33648,40910,40941
32184	淮上即事，寄广陵亲故	72233
32185	述降圣观	58451
32186	虞美人（与客赏海棠，忆去岁临川所赋，怅然有远宦之叹。晚过楚塞作）	52339
32187	送程秀才下第归蜀	23947
32188	东林寺	40878
32189	赠虞十五司马	3555
32190	送夏侯校书归华阴别墅	6758
32191	蝶恋花·小雨初晴回晚照	63133
32192	郊庙歌辞。祀雨师乐章。迎神	71045
32193	和杜麟台元志春情	42039
32194	高阳台·桥影流虹	68596
32195	君子法天运	10211
32196	至德中赠内兄刘赞	7020,7085
